Id,Label,timeset,pageranks,modularity_class,componentnumber,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
n65,tukang,,0.001207,0,0,0.5,3,9,0.274906,0.306501,802,4
n66,payung,,0.000968,3,0,0,0,10,0.185151,0.195411,1602,2
n67,aksi,,0.001652,0,0,0,0,9,0.248376,0.27153,3871.172309,5
n68,berjiwa,,0.001234,18,0,0.333333,1,11,0.178405,0.18969,802,3
n69,bid,,0.001128,3,0,0.5,3,8,0.296858,0.336132,399.435773,4
n70,demo,,0.0052,3,0,0.131579,25,8,0.325233,0.373921,21314.316264,20
n71,diturunin,,0.000618,3,0,1,1,8,0.273129,0.305279,0,2
n72,drivernya,,0.001943,3,0,0.321429,9,8,0.290731,0.32582,459.096502,8
n73,kembalikan,,0.000657,3,0,0,0,9,0.255245,0.279629,80.339774,2
n74,menyiksa,,0.000618,3,0,1,1,8,0.278143,0.311499,0,2
n75,penurunan,,0.000381,3,0,0,0,9,0.254275,0.27769,0,1
n76,perusahaan,,0.001309,18,0,0,0,9,0.260207,0.286426,5255.106015,4
n77,susah,,0.001277,3,0,0.166667,1,8,0.295438,0.332476,3756.648891,4
n78,belajar,,0.000793,5,0,0,0,11,0.167851,0.178824,2.45,2
n79,berani,,0.001161,5,0,0,0,10,0.192797,0.207579,826.825092,3
n80,berbasis,,0.000643,7,0,1,1,9,0.259702,0.285202,0,2
n81,berkat,,0.000832,6,0,0,0,11,0.185665,0.195521,22.663095,2
n82,blue,,0.001041,47,4,0,0,1,1,1,0,1
n83,cari,,0.001676,3,0,0,0,9,0.236455,0.257305,3117.258958,5
n84,diselamatkan,,0.000815,6,0,0,0,10,0.206003,0.218995,267.518262,2
n85,ijin,,0.001835,4,0,0,0,11,0.193587,0.207773,4791,4
n86,kawan,,0.000984,0,0,0.333333,1,9,0.24437,0.265588,802,3
n87,kesenangan,,0.001351,8,3,0,0,2,0.75,0.833333,2,2
n88,menghalangi,,0.001351,8,3,0,0,2,0.75,0.833333,2,2
n89,menghindari,,0.001666,6,0,0,0,10,0.201962,0.221512,4399.929842,4
n90,nyari,,0.000858,3,0,0,0,10,0.194149,0.207487,1602,2
n91,tweet,,0.000775,6,0,0,0,10,0.219459,0.23491,555.144833,2
n92,wars,,0.00119,0,0,0.333333,2,9,0.238704,0.261968,652.107288,4
n93,abang,,0.002357,3,0,0.25,9,8,0.297959,0.338848,2363.299709,9
n94,uang,,0.002513,3,0,0.035714,1,9,0.240563,0.265938,6175.392065,8
n95,bantu,,0.001524,7,0,0.2,2,8,0.28833,0.323254,4847.476466,5
n96,bensin,,0.003049,3,0,0.055556,2,9,0.224364,0.249308,3663.481533,9
n97,disuruh,,0.000629,3,0,1,1,8,0.273874,0.305291,0,2
n98,dki,,0.000727,7,0,0,0,9,0.231612,0.251632,1103.674766,2
n99,dprd,,0.001135,7,0,0,0,10,0.189342,0.201912,345.554131,3
n100,drpd,,0.000607,3,0,0,0,9,0.235691,0.256539,9.461574,2
n101,jek,,0.004901,0,0,0.084967,13,8,0.309441,0.357923,15440.876553,18
n102,jerih,,0.000857,3,0,0,0,10,0.186875,0.198338,18.083333,2
n103,karna,,0.000647,3,0,0,0,9,0.255651,0.279837,131.049603,2
n104,kena,,0.000955,3,0,0,0,8,0.271375,0.303527,721.072505,3
n105,manusiawi,,0.001622,3,0,0.333333,5,8,0.279791,0.315857,832.884596,6
n106,menurunkan,,0.000638,3,0,0,0,9,0.255083,0.279193,306.554455,2
n107,mitra,,0.002926,3,0,0.111111,5,8,0.297407,0.339235,7002.178529,10
n108,murah,,0.003399,3,0,0.166667,13,8,0.304744,0.350297,3532.996276,13
n109,parkir,,0.00179,3,0,0.066667,1,9,0.244668,0.271266,2269.986764,6
n110,pelanggan,,0.001057,19,0,0,0,9,0.232282,0.250808,815.066667,3
n111,pendapatan,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n112,performa,,0.002587,3,0,0.107143,3,8,0.281162,0.318533,4068.565497,8
n113,pt,,0.000392,3,0,0,0,9,0.270553,0.298998,0,1
n114,putus,,0.000685,3,0,0,0,9,0.230416,0.249472,82.55252,2
n115,setia,,0.000923,19,0,0.333333,1,9,0.273595,0.303345,716.784044,3
n116,banget,,0.003541,3,0,0.102564,8,9,0.296529,0.337378,4802.717813,13
n117,inovasi,,0.00044,4,0,0,0,10,0.215976,0.232464,0,1
n118,jokowi,,0.001561,6,0,0.1,1,9,0.280279,0.311844,6830.495526,5
n119,kadishub,,0.000454,7,0,0,0,10,0.204378,0.216841,0,1
n120,kantor,,0.001828,5,0,0.066667,1,8,0.304397,0.342647,11604.204995,6
n121,kasih,,0.003914,0,0,0.051282,4,8,0.286479,0.32593,9992.384496,13
n122,kebahagiaan,,0.001709,40,0,0.166667,1,11,0.15493,0.165402,4790,4
n123,kemampuan,,0.000834,19,0,0,0,10,0.215976,0.231489,3990,2
n124,memilih,,0.001292,19,0,0.166667,1,9,0.274436,0.305513,5381.581183,4
n125,menemukan,,0.000437,5,0,0,0,10,0.188498,0.200855,0,1
n126,menhub,,0.001468,0,0,0,0,9,0.263538,0.291135,3234.562556,5
n127,merobohkan,,0.000472,7,0,0,0,11,0.168875,0.177813,0,1
n128,nadiem,,0.001715,0,0,0.1,1,9,0.240852,0.264994,2596.536111,5
n129,pengguna,,0.001364,3,0,0.5,5,8,0.296091,0.335135,387.922975,5
n130,petisi,,0.001589,6,0,0,0,10,0.221701,0.240948,4114.761561,5
n131,pintu,,0.001187,40,0,0.333333,1,10,0.182749,0.195614,6360,3
n132,semoga,,0.001479,40,0,0,0,12,0.134303,0.142322,2402,3
n133,sesuai,,0.001637,5,0,0,0,9,0.232282,0.254563,3068.520402,5
n134,stress,,0.00095,19,0,0,0,11,0.17797,0.187969,3196,2
n135,supir,,0.001335,1,0,0.1,1,9,0.278529,0.311118,707.762189,5
n136,ucapkan,,0.000718,0,0,0,0,9,0.222253,0.238741,29.611208,2
n137,ambil,,0.002377,3,0,0.277778,10,8,0.303592,0.345867,6256.388242,9
n138,bayar,,0.002783,3,0,0.133333,6,8,0.284954,0.323088,5172.303717,10
n139,kaya,,0.001024,3,0,0.333333,1,9,0.271009,0.300763,802,3
n140,nanya,,0.000742,3,0,0,0,8,0.271375,0.303008,2077.214286,2
n141,pas,,0.00245,3,0,0.194444,7,8,0.299069,0.340086,5303.69611,9
n142,admin,,0.000831,3,0,0.666667,2,8,0.27824,0.312121,5.867136,3
n143,aplikasi,,0.003216,18,0,0.027778,1,10,0.21691,0.236892,6546.403038,9
n144,argo,,0.001105,3,0,0.166667,1,8,0.277759,0.31131,537.351056,4
n145,bawa,,0.001459,5,0,0,0,10,0.194619,0.210782,901.561508,4
n146,butuh,,0.001997,3,0,0.285714,6,8,0.29807,0.338374,2345.520267,7
n147,dihargai,,0.000605,3,0,0,0,9,0.241069,0.261749,79.180849,2
n148,fasilitas,,0.000858,5,0,0,0,9,0.233566,0.25095,802,2
n149,gagal,,0.000612,3,0,1,1,9,0.232619,0.25277,0,2
n150,gaji,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n151,gara,,0.000381,3,0,0,0,9,0.254275,0.27769,0,1
n152,gra,,0.00062,3,0,1,1,8,0.271101,0.302593,0,2
n153,harga,,0.002304,3,0,0.277778,10,8,0.296091,0.337833,1817.803769,9
n154,hargain,,0.000804,3,0,0,0,9,0.234384,0.25542,802,2
n155,hati,,0.001792,7,0,0.2,3,8,0.28833,0.323939,1699.732424,6
n156,jaket,,0.001118,5,0,0,0,8,0.234453,0.253837,1277.512121,3
n157,keringat,,0.000749,3,0,0,0,8,0.271192,0.302593,1161.936508,2
n158,macet,,0.001271,0,0,0,0,9,0.22287,0.240784,3199,3
n159,males,,0.000848,3,0,0.333333,1,8,0.271559,0.303268,73.148239,3
n160,masuk,,0.002575,19,0,0,0,9,0.260461,0.290982,6881.705334,8
n161,mending,,0.001445,3,0,0,0,8,0.251016,0.276941,4149.943602,5
n162,mobile,,0.000809,18,0,1,1,11,0.178365,0.189067,0,2
n163,mohon,,0.000975,3,0,0.333333,1,8,0.271101,0.303008,802,3
n164,motor,,0.003207,3,0,0.044444,2,8,0.279596,0.318346,8653.614862,10
n165,naikin,,0.000633,3,0,1,1,9,0.258782,0.282395,0,2
n166,narik,,0.000858,3,0,0,0,9,0.254678,0.279558,32.363889,3
n167,nyawa,,0.001583,3,0,0.2,3,8,0.302905,0.341102,8842.584296,6
n168,odong,,0.000396,3,0,0,0,9,0.219759,0.236982,0,1
n169,orderan,,0.003001,19,0,0.027778,1,9,0.236873,0.262582,4277.987567,9
n170,perang,,0.000381,3,0,0,0,9,0.254275,0.27769,0,1
n171,pilih,,0.000156,9,5,0,0,0,0,0,0,0
n172,potongan,,0.00177,3,0,0.133333,2,8,0.294247,0.334067,2437.489262,6
n173,potongannya,,0.000671,3,0,0,0,9,0.246017,0.266445,99.310424,2
n174,pra,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n175,produk,,0.001012,3,0,0,0,10,0.167536,0.176539,802,2
n176,salah,,0.001779,19,0,0,0,8,0.280671,0.315574,4624.913418,6
n177,salam,,0.001642,4,0,0,0,13,0.139847,0.147166,1603,3
n178,sedih,,0.001041,48,6,0,0,1,1,1,0,1
n179,siluman,,0.000431,3,0,0,0,9,0.219519,0.236178,0,1
n180,slogan,,0.000665,3,0,0,0,9,0.233498,0.252369,34.587401,2
n181,suspen,,0.000991,3,0,0,0,9,0.217615,0.23526,33.311111,3
n182,tarifnya,,0.000845,3,0,0.666667,2,8,0.271375,0.303527,2.083333,3
n183,ten,,0.00294,0,0,0.044444,2,9,0.244221,0.272329,5497.844966,10
n184,turun,,0.003866,3,0,0.171429,18,8,0.30279,0.349042,3807.833526,15
n185,twothousandandfifteen,,0.000405,3,0,0,0,9,0.228645,0.24652,0,1
n186,aman,,0.000668,5,0,0,0,9,0.236594,0.256366,157.258013,2
n187,apapun,,0.000997,5,0,0,0,8,0.27661,0.308508,2631.779234,3
n188,azam,,0.001063,0,0,0,0,10,0.178882,0.18882,802,2
n189,bakat,,0.000758,5,0,0,0,10,0.188675,0.200887,21.341414,2
n190,bakatilah,,0.000761,5,0,0,0,9,0.217851,0.233616,227.880797,2
n191,berkualitas,,0.000771,5,0,0,0,10,0.202829,0.220744,341.002547,2
n192,bintang,,0.002191,0,0,0.066667,1,8,0.277759,0.312087,7146.198949,6
n193,blok,,0.000879,1,0,0,0,11,0.167676,0.176307,19.746823,2
n194,cabut,,0.00069,0,0,1,1,10,0.201911,0.21651,0,2
n195,cemerlang,,0.000743,19,0,0,0,10,0.190059,0.202214,17.783333,2
n196,coba,,0.001772,1,0,0,0,9,0.25,0.273416,4058.074204,5
n197,dasar,,0.000952,18,0,0.333333,1,9,0.255895,0.281405,2470.311044,3
n198,dibayar,,0.00119,5,0,0,0,10,0.223428,0.241161,1824.979355,3
n199,dibutuhkan,,0.000417,3,0,0,0,10,0.216851,0.232495,0,1
n200,didalam,,0.000533,6,0,0,0,12,0.15342,0.160831,0,1
n201,dilarang,,0.002469,0,0,0.25,9,9,0.291047,0.328133,3777.703285,9
n202,dimiliki,,0.001024,5,0,0,0,11,0.161732,0.170771,802,2
n203,dukungan,,0.000669,0,0,0,0,9,0.237574,0.256537,22.875885,2
n204,gantungkan,,0.000608,0,0,0,0,11,0.151767,0.157923,0,1
n205,grab,,0.001323,3,0,0.8,8,8,0.29328,0.331618,3.031385,5
n206,hidup,,0.00181,19,0,0,0,9,0.272388,0.303594,6201.55517,5
n207,inbox,,0.001351,49,7,0,0,2,0.75,0.833333,2,2
n208,izin,,0.000392,3,0,0,0,9,0.270553,0.298998,0,1
n209,jakarta,,0.001488,3,0,0.1,1,9,0.27453,0.305722,2286.9423,5
n210,jamil,,0.001351,49,7,0,0,2,0.75,0.833333,2,2
n211,kali,,0.000794,3,0,0,0,9,0.245791,0.266216,1602,2
n212,kalimantan,,0.000817,6,0,0,0,12,0.15389,0.161543,266.833333,2
n213,kecuali,,0.001267,0,0,0,0,9,0.218147,0.235618,2396.62752,3
n214,keharusan,,0.001006,6,0,0,0,11,0.168132,0.17933,802,2
n215,kehilangan,,0.00086,5,0,0,0,10,0.192797,0.20706,1602,2
n216,kerja,,0.003406,3,0,0,0,9,0.277088,0.312904,11512.541067,10
n217,ketepatan,,0.001032,18,0,0.333333,1,10,0.207065,0.221159,732.093223,3
n218,korban,,0.001127,0,0,0,0,10,0.198076,0.210728,458.516148,3
n219,kuat,,0.001512,3,0,0,0,10,0.192705,0.205397,1010.1547,4
n220,kylo,,0.000525,0,0,0,0,12,0.152112,0.159464,0,1
n221,lambat,,0.0011,7,0,0,0,11,0.155169,0.162409,802,2
n222,larangan,,0.001894,0,0,0.066667,1,9,0.248376,0.273441,2734.384253,6
n223,makarim,,0.000909,0,0,0,0,10,0.194243,0.207138,802,2
n224,masyarakat,,0.003067,3,0,0.066667,3,9,0.276801,0.311686,5821.854462,10
n225,membantu,,0.001122,3,0,0.666667,4,9,0.286683,0.319487,235.474021,4
n226,membiarkan,,0.000748,19,0,0,0,10,0.215455,0.231447,29.166667,2
n227,mencoba,,0.001772,6,0,0,0,11,0.181182,0.1942,1734.940619,4
n228,menghormati,,0.000434,5,0,0,0,10,0.20075,0.21702,0,1
n229,mengubah,,0.00087,0,0,0,0,10,0.182086,0.192934,97.742203,2
n230,menjamin,,0.000906,5,0,0,0,11,0.180571,0.191111,1602,2
n231,menua,,0.001014,0,0,0,0,10,0.179201,0.189453,802,2
n232,meremehkan,,0.00098,3,0,0,0,10,0.197443,0.208798,802,2
n233,merugikan,,0.000707,19,0,0,0,8,0.271467,0.302863,648.300649,2
n234,negeri,,0.00106,4,0,0,0,10,0.218801,0.237487,214.510444,3
n235,netizen,,0.001848,6,0,0,0,10,0.230152,0.251443,2314.573082,6
n236,pakelah,,0.000392,3,0,0,0,9,0.270553,0.298998,0,1
n237,pemilik,,0.000771,5,0,0,0,10,0.20085,0.21785,362.764176,2
n238,pengkerdilan,,0.000739,19,0,0,0,9,0.220302,0.236973,118.375611,2
n239,pengorbananan,,0.000883,19,0,0,0,10,0.214591,0.230079,3196,2
n240,perjalanan,,0.001224,68,8,0,0,4,0.428571,0.569444,5,2
n241,pertumbuhan,,0.00146,7,0,0,0,10,0.183543,0.194466,2402,3
n242,pikiran,,0.00134,19,0,0,0,9,0.233091,0.25414,780.14668,4
n243,presiden,,0.001476,6,0,0.166667,1,9,0.236315,0.256843,1603,4
n244,pribadi,,0.001201,6,0,0,0,9,0.209606,0.223841,810.666667,3
n245,punah,,0.000779,3,0,0,0,11,0.182583,0.19367,197.696006,2
n246,rendah,,0.00098,5,0,0,0,11,0.182749,0.193038,802,2
n247,revisi,,0.001728,4,0,0,0,10,0.232821,0.252156,3201,4
n248,saipul,,0.00073,49,7,0,0,3,0.5,0.611111,0,1
n249,savemetromini,,0.000831,1,0,0,0,10,0.200299,0.212889,788.874204,2
n250,semangatmu,,0.000918,0,0,0,0,9,0.217674,0.23424,1602,2
n251,sepenuh,,0.00041,7,0,0,0,9,0.223864,0.239794,0,1
n252,seribu,,0.00116,68,8,0,0,3,0.545455,0.638889,8,2
n253,sikap,,0.001963,18,0,0.066667,1,10,0.2191,0.237058,2125.732959,6
n254,tagar,,0.000937,7,0,0,0,9,0.232484,0.251993,75.521429,3
n255,taxi,,0.00196,1,0,0.047619,1,9,0.264058,0.293501,3241.090057,7
n256,terbantu,,0.000392,3,0,0,0,9,0.270553,0.298998,0,1
n257,tercapainya,,0.001055,5,0,0,0,12,0.15304,0.160207,802,2
n258,terkejam,,0.000778,19,0,0,0,10,0.215918,0.231238,66.734779,2
n259,timur,,0.000825,6,0,0,0,13,0.133477,0.139478,0.833333,2
n260,tinggal,,0.00073,3,0,0,0,10,0.216793,0.232366,516.051486,2
n261,tinggalin,,0.000634,3,0,1,1,9,0.270826,0.299932,0,2
n262,untung,,0.001526,3,0,0.1,1,9,0.273688,0.304997,2025.493229,5
n263,alat,,0.000405,7,0,0,0,9,0.230813,0.249838,0,1
n264,aye,,0.000956,0,0,0,0,10,0.196573,0.208446,1602,2
n265,bersaing,,0.000693,5,0,0,0,10,0.21691,0.232642,124.945784,2
n266,kejelasan,,0.001096,3,0,0,0,11,0.156317,0.163336,802,2
n267,tandatangani,,0.000981,5,0,0,0,10,0.218622,0.235633,90.851282,3
n268,yogyakarta,,0.000466,5,0,0,0,11,0.167781,0.177994,0,1
n269,ajak,,0.001041,50,9,0,0,1,1,1,0,1
n270,auto,,0.000647,3,0,0,0,8,0.245041,0.265902,9.9,2
n271,customer,,0.002374,3,0,0.107143,3,8,0.288745,0.325351,6615.984101,8
n272,langsung,,0.001283,19,0,0,0,9,0.226836,0.247492,832.831476,4
n273,nama,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n274,ojol,,0.002198,3,0,0.071429,2,8,0.280181,0.316329,11015.180283,8
n275,pesen,,0.00085,0,0,0.333333,1,8,0.251961,0.274137,335.541827,3
n276,rekan,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n277,sisi,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n278,telat,,0.000492,5,0,0,0,9,0.19051,0.200707,0,1
n279,terminal,,0.00073,39,10,0,0,3,0.5,0.611111,0,1
n280,tujuan,,0.001644,3,0,0,0,9,0.215108,0.232355,1604,4
n281,uber,,0.003354,3,0,0.181818,12,8,0.302905,0.346633,5891.056172,12
n282,5km,,0.000156,10,11,0,0,0,0,0,0,0
n283,adminnya,,0.000567,31,0,0,0,10,0.177028,0.1862,0,1
n284,akui,,0.000716,7,0,0,0,9,0.236664,0.257589,479.617016,2
n285,amal,,0.001005,7,0,0,0,11,0.170199,0.178612,2400,2
n286,aneh,,0.000392,3,0,0,0,9,0.270553,0.298998,0,1
n287,angkot,,0.002103,1,0,0,0,9,0.253073,0.280851,2358.811756,7
n288,anyep,,0.000156,11,12,0,0,0,0,0,0,0
n289,app,,0.000383,3,0,0,0,9,0.226261,0.243628,0,1
n290,atasi,,0.000738,7,0,0,0,9,0.231079,0.25098,656.102106,2
n291,ayah,,0.000448,0,0,0,0,10,0.194149,0.206308,0,1
n292,bandar,,0.001049,7,0,0,0,10,0.178722,0.18826,802,2
n293,bandingkan,,0.000385,4,0,0,0,9,0.21043,0.224594,0,1
n294,bangsa,,0.001829,4,0,0.2,3,8,0.280475,0.317206,1774.26215,6
n295,basa,,0.001041,51,13,0,0,1,1,1,0,1
n296,batam,,0.002103,7,0,0.066667,1,9,0.256796,0.282649,2512.057157,6
n297,bekasi,,0.001371,3,0,0,0,10,0.214362,0.230433,1603,3
n298,beli,,0.000444,3,0,0,0,10,0.183291,0.195667,0,1
n299,berhak,,0.000814,7,0,0,0,10,0.188764,0.200565,18.228571,2
n300,berharap,,0.000381,3,0,0,0,9,0.254275,0.27769,0,1
n301,berlaku,,0.001247,5,0,0,0,10,0.201455,0.219531,1672.374174,3
n302,biar,,0.00203,3,0,0.047619,1,8,0.292745,0.329292,6212.814166,7
n303,bo,,0.00081,3,0,0,0,10,0.217321,0.234356,438.063492,2
n304,bonus,,0.001115,3,0,0.333333,2,8,0.271927,0.304565,244.381147,4
n305,budak,,0.001068,19,0,0,0,9,0.215224,0.231981,201.815652,3
n306,buka,,0.000432,7,0,0,0,10,0.188365,0.199103,0,1
n307,buruh,,0.00081,13,0,0,0,11,0.185622,0.197317,2400,2
n308,ciptakan,,0.00065,0,0,0,0,9,0.26063,0.283381,79.558902,2
n309,cs,,0.001484,3,0,0.2,2,8,0.279791,0.314985,1532.253588,5
n310,cuman,,0.000498,3,0,0,0,10,0.189924,0.201054,0,1
n311,curhatan,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n312,damai,,0.00115,0,0,0,0,10,0.202522,0.216658,819.677882,3
n313,darah,,0.001171,7,0,0,0,13,0.127137,0.132126,802,2
n314,daring,,0.001243,4,0,0.166667,1,9,0.235346,0.258253,837.452706,4
n315,diberlakukan,,0.00087,1,0,0,0,10,0.201001,0.215044,1602,2
n316,dilayani,,0.000702,3,0,0,0,9,0.224239,0.241141,6.166667,2
n317,dimohon,,0.001041,52,14,0,0,1,1,1,0,1
n318,dinas,,0.000788,7,0,0,0,11,0.174451,0.185487,25.350031,2
n319,dipotong,,0.000418,3,0,0,0,10,0.190872,0.20283,0,1
n320,disaat,,0.000621,13,0,0,0,14,0.119387,0.123354,0,1
n321,diterapkan,,0.000747,31,0,0,0,9,0.256222,0.279536,717.115879,2
n322,diterima,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n323,donor,,0.001081,7,0,0,0,12,0.145577,0.151922,1602,2
n324,emank,,0.000742,3,0,0,0,10,0.222499,0.240365,23.382576,2
n325,fals,,0.001143,7,0,0,0,12,0.145366,0.151423,802,2
n326,flat,,0.000381,3,0,0,0,9,0.234247,0.254589,0,1
n327,fourhundred,,0.000984,3,0,0,0,10,0.190104,0.20205,802,2
n328,gantung,,0.000473,5,0,0,0,9,0.189969,0.200004,0,1
n329,gerus,,0.00069,7,0,0,0,9,0.256878,0.280428,188.787994,2
n330,gila,,0.000599,3,0,1,1,9,0.236385,0.258198,0,2
n331,gini,,0.001191,3,0,0.333333,2,9,0.279596,0.313131,648.737841,4
n332,gopay,,0.001063,3,0,0.333333,1,8,0.233838,0.252674,802,3
n333,hak,,0.001041,53,15,0,0,1,1,1,0,1
n334,halo,,0.000622,4,0,0,0,14,0.122708,0.12735,0,1
n335,hapus,,0.000945,3,0,0,0,9,0.235899,0.258025,234.413959,3
n336,harap,,0.001041,54,16,0,0,1,1,1,0,1
n337,hastag,,0.000658,0,0,0,0,9,0.235968,0.254443,111.160363,2
n338,helm,,0.001091,5,0,0,0,9,0.202369,0.215825,232.347835,3
n339,iklan,,0.00078,6,0,0,0,10,0.197832,0.209937,66.014589,2
n340,ilyas,,0.000829,31,0,0,0,10,0.204952,0.217784,50.476587,2
n341,isi,,0.000444,3,0,0,0,10,0.183291,0.195667,0,1
n342,iskandar,,0.000838,31,0,0,0,9,0.215166,0.231798,133.360709,2
n343,iwan,,0.000642,7,0,0,0,13,0.126936,0.130994,0,1
n344,jarak,,0.000867,0,0,0.333333,1,8,0.275566,0.308155,1073.493578,3
